id,name,followers,uri,total_tracks,track_id,track_index,user_id
00AuG9lUyHj1hnjqgIdLeg,Pixies — Where Is My Mind?,0,spotify:user:bleapkin:playlist:00AuG9lUyHj1hnjqgIdLeg,2,1FTSo4v6BOZH9QxKc3MbVM,1,bleapkin
00AuG9lUyHj1hnjqgIdLeg,Pixies — Where Is My Mind?,0,spotify:user:bleapkin:playlist:00AuG9lUyHj1hnjqgIdLeg,2,6mcxQ1Y3uQRU0IHsvdNLH1,2,bleapkin
00BCVWXeHusuQeMUkSfua4,Electro-Dub,0,spotify:user:amm.letellier:playlist:00BCVWXeHusuQeMUkSfua4,2,3J28CGmR9cnA1jW6TNACkh,1,amm.letellier
00BCVWXeHusuQeMUkSfua4,Electro-Dub,0,spotify:user:amm.letellier:playlist:00BCVWXeHusuQeMUkSfua4,2,4FxXW5X7Ab3ZHhwtGj6ym6,2,amm.letellier
00BCVWXeHusuQeMUkSfua4,Electro-Dub,0,spotify:user:amm.letellier:playlist:00BCVWXeHusuQeMUkSfua4,2,4FxXW5X7Ab3ZHhwtGj6ym6,2,amm.letellier
00EwsmWK8qpoonCY9JBkjX,Die Tribute von Panem,0,spotify:user:aiw2tbbio01vsjxdciau76522:playlist:00EwsmWK8qpoonCY9JBkjX,2,416MsJxvxSKY96DCmbJIRs,1,aiw2tbbio01vsjxdciau76522
00EwsmWK8qpoonCY9JBkjX,Die Tribute von Panem,0,spotify:user:aiw2tbbio01vsjxdciau76522:playlist:00EwsmWK8qpoonCY9JBkjX,2,416MsJxvxSKY96DCmbJIRs,1,aiw2tbbio01vsjxdciau76522
00EwsmWK8qpoonCY9JBkjX,Die Tribute von Panem,0,spotify:user:aiw2tbbio01vsjxdciau76522:playlist:00EwsmWK8qpoonCY9JBkjX,2,4rvD0Pq9MEoDyyoCGPm7zS,2,aiw2tbbio01vsjxdciau76522
00EwsmWK8qpoonCY9JBkjX,Die Tribute von Panem,0,spotify:user:aiw2tbbio01vsjxdciau76522:playlist:00EwsmWK8qpoonCY9JBkjX,2,4rvD0Pq9MEoDyyoCGPm7zS,2,aiw2tbbio01vsjxdciau76522
00LlaRTiiXpbsh6CIVKTub,Songs of Girls Group,0,spotify:user:munielbu:playlist:00LlaRTiiXpbsh6CIVKTub,2,51CWs8Gipl0UqDGNA5xekm,1,munielbu
00LlaRTiiXpbsh6CIVKTub,Songs of Girls Group,0,spotify:user:munielbu:playlist:00LlaRTiiXpbsh6CIVKTub,2,7Mfb2IwRNP8Qi7Ojtpmi37,2,munielbu
00LlaRTiiXpbsh6CIVKTub,Songs of Girls Group,0,spotify:user:munielbu:playlist:00LlaRTiiXpbsh6CIVKTub,2,7Mfb2IwRNP8Qi7Ojtpmi37,2,munielbu
00maCdFZLbLD5zideedbdp,porros,0,spotify:user:a98548012:playlist:00maCdFZLbLD5zideedbdp,2,2mkMYftaI5pGMXGWEwtJtb,1,a98548012
00maCdFZLbLD5zideedbdp,porros,0,spotify:user:a98548012:playlist:00maCdFZLbLD5zideedbdp,2,35FJIXX8h7u9ApGAMoFzWY,2,a98548012
00Oi6aVLtRnrgFh77xLhTt,breakbeat,0,spotify:user:117291406:playlist:00Oi6aVLtRnrgFh77xLhTt,2,5w8y8XWqYoP5HaHSPZHxeA,1,117291406
00Oi6aVLtRnrgFh77xLhTt,breakbeat,0,spotify:user:117291406:playlist:00Oi6aVLtRnrgFh77xLhTt,2,5w8y8XWqYoP5HaHSPZHxeA,1,117291406
00Oi6aVLtRnrgFh77xLhTt,breakbeat,0,spotify:user:117291406:playlist:00Oi6aVLtRnrgFh77xLhTt,2,6XU1Wg5IrngFk2oyYPvoZ4,2,117291406
00Oi6aVLtRnrgFh77xLhTt,breakbeat,0,spotify:user:117291406:playlist:00Oi6aVLtRnrgFh77xLhTt,2,6XU1Wg5IrngFk2oyYPvoZ4,2,117291406
00Pz5D6feRIuLGFsbL9QMz,Country Roads,0,spotify:user:finnilinian:playlist:00Pz5D6feRIuLGFsbL9QMz,2,1rtYGowPGXV17ioj8nwCd3,1,finnilinian
00Pz5D6feRIuLGFsbL9QMz,Country Roads,0,spotify:user:finnilinian:playlist:00Pz5D6feRIuLGFsbL9QMz,2,2xYlyywNgefLCRDG8hlxZq,2,finnilinian
00QbAT4PsGRrf2QG9u9kFG,arabesk,0,spotify:user:hpnkvuuce8nvx6x5b26vraxd8:playlist:00QbAT4PsGRrf2QG9u9kFG,2,1Mw4JiiSl5EuE7SYfc5Vks,1,hpnkvuuce8nvx6x5b26vraxd8
00QbAT4PsGRrf2QG9u9kFG,arabesk,0,spotify:user:hpnkvuuce8nvx6x5b26vraxd8:playlist:00QbAT4PsGRrf2QG9u9kFG,2,726JFrBuSqQ1CN0OH1Fztp,2,hpnkvuuce8nvx6x5b26vraxd8
00SU8EHJTQZWEirvHrpYu7,tribute,1,spotify:user:arkana444:playlist:00SU8EHJTQZWEirvHrpYu7,2,0jx7r5OF2yEXUyRArwlKzS,1,arkana444
00SU8EHJTQZWEirvHrpYu7,tribute,1,spotify:user:arkana444:playlist:00SU8EHJTQZWEirvHrpYu7,2,72Z17vmmeQKAg8bptWvpVG,2,arkana444
00y0tJhp3BqBaZgYf72uy8,Belly Dance,0,spotify:user:dububs9hks02nxfud2tuvgdsh:playlist:00y0tJhp3BqBaZgYf72uy8,2,0OfSEWTCjeKvGgGP5k5KQ8,1,dububs9hks02nxfud2tuvgdsh
00y0tJhp3BqBaZgYf72uy8,Belly Dance,0,spotify:user:dububs9hks02nxfud2tuvgdsh:playlist:00y0tJhp3BqBaZgYf72uy8,2,5peXtQydbnOo9LTqVtYiXX,2,dububs9hks02nxfud2tuvgdsh
00yu1OsReu9uIBuI67E6Vh,???? INDONESIAN JAZZ ????,0,spotify:user:5mogswkrq069td30yohtzke6y:playlist:00yu1OsReu9uIBuI67E6Vh,2,1oKJJOjLULChjf4BM3qEJO,1,5mogswkrq069td30yohtzke6y
00yu1OsReu9uIBuI67E6Vh,???? INDONESIAN JAZZ ????,0,spotify:user:5mogswkrq069td30yohtzke6y:playlist:00yu1OsReu9uIBuI67E6Vh,2,3Qiv7UhkqYeBExD6gZ1m3k,2,5mogswkrq069td30yohtzke6y
011A4qnZrNupMySbwge5vT,Classified,0,spotify:user:21zmc3aljecrpcgltn7pnt6ta:playlist:011A4qnZrNupMySbwge5vT,2,65ZWO4XvTXfVtz3AArlln1,1,21zmc3aljecrpcgltn7pnt6ta
011A4qnZrNupMySbwge5vT,Classified,0,spotify:user:21zmc3aljecrpcgltn7pnt6ta:playlist:011A4qnZrNupMySbwge5vT,2,79Rnq7MIL9l6VZiLpjFauz,2,21zmc3aljecrpcgltn7pnt6ta
01AQErRkKiMcZkKOmuADcC,poetry,0,spotify:user:ckwinn.02.cw:playlist:01AQErRkKiMcZkKOmuADcC,2,0D21XvHcVsIvJM6FcGY2BT,1,ckwinn.02.cw
01AQErRkKiMcZkKOmuADcC,poetry,0,spotify:user:ckwinn.02.cw:playlist:01AQErRkKiMcZkKOmuADcC,2,2OvV4NjEBRE9v8Oo7QeUCq,2,ckwinn.02.cw
01AQErRkKiMcZkKOmuADcC,poetry,0,spotify:user:ckwinn.02.cw:playlist:01AQErRkKiMcZkKOmuADcC,2,2OvV4NjEBRE9v8Oo7QeUCq,2,ckwinn.02.cw
01jKqtbj0b4p1pOEOdwd5h,Redneck intro,0,spotify:user:siimneerut:playlist:01jKqtbj0b4p1pOEOdwd5h,2,1YRWa0FGvwYtaKyh8MNNAN,1,siimneerut
01jKqtbj0b4p1pOEOdwd5h,Redneck intro,0,spotify:user:siimneerut:playlist:01jKqtbj0b4p1pOEOdwd5h,2,5UmjTs63CSJIYxIBjsDl7w,2,siimneerut
01K0CFgQS6y4nhyPrODjjH,cumbia sonidera,0,spotify:user:cindiavsqz:playlist:01K0CFgQS6y4nhyPrODjjH,2,0HlMshB5JmZjPNbOuOgFHN,1,cindiavsqz
01K0CFgQS6y4nhyPrODjjH,cumbia sonidera,0,spotify:user:cindiavsqz:playlist:01K0CFgQS6y4nhyPrODjjH,2,0HlMshB5JmZjPNbOuOgFHN,1,cindiavsqz
01K0CFgQS6y4nhyPrODjjH,cumbia sonidera,0,spotify:user:cindiavsqz:playlist:01K0CFgQS6y4nhyPrODjjH,2,66pFj1qLH3AVNw6tdPaoUd,2,cindiavsqz
01neQBx1PgRhTY6k0hHG27,Acid house,0,spotify:user:alexconnorclarke:playlist:01neQBx1PgRhTY6k0hHG27,2,47IUL5vAQ3VPCHVQlcuXsK,1,alexconnorclarke
01neQBx1PgRhTY6k0hHG27,Acid house,0,spotify:user:alexconnorclarke:playlist:01neQBx1PgRhTY6k0hHG27,2,47IUL5vAQ3VPCHVQlcuXsK,1,alexconnorclarke
01neQBx1PgRhTY6k0hHG27,Acid house,0,spotify:user:alexconnorclarke:playlist:01neQBx1PgRhTY6k0hHG27,2,6zyHL7MMDJuVx6xFC8MBnW,2,alexconnorclarke
