track_id,track_name,track_duration,track_popularity,track_explicit,track_preview_url,track_uri,track_index,album_id,album_name,album_uri,artist_name,artist_uri,artist_id
0jx7r5OF2yEXUyRArwlKzS,The Man Who Sold The World - 1999 Remastered Version,238893,2.0,0,,spotify:track:0jx7r5OF2yEXUyRArwlKzS,1,4hCuee6XJrhXfeedeoEv7r,The Man Who Sold The World,spotify:album:4hCuee6XJrhXfeedeoEv7r,David Bowie,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy,0oSGxfWSnnOXhD2fKuz2Gy
72Z17vmmeQKAg8bptWvpVG,Space Oddity - 2015 Remastered Version,318813,70.0,0,https://p.scdn.co/mp3-preview/b39f0ae16451e7aca47dec309ea7d55aad607b8e?cid=d8dea22fde1f4eb7a0ac6d5c2071800e,spotify:track:72Z17vmmeQKAg8bptWvpVG,2,1ay9Z4R5ZYI2TY7WiDhNYQ,David Bowie (aka Space Oddity) [2015 Remastered Version],spotify:album:1ay9Z4R5ZYI2TY7WiDhNYQ,David Bowie,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy,0oSGxfWSnnOXhD2fKuz2Gy
0OfSEWTCjeKvGgGP5k5KQ8,Illa Habibi,204240,42.0,0,https://p.scdn.co/mp3-preview/f43aea63b5f3efd9fd7f45a955ee590d7e09a532?cid=d8dea22fde1f4eb7a0ac6d5c2071800e,spotify:track:0OfSEWTCjeKvGgGP5k5KQ8,1,5tqvDr3T8MucvhFH51j3oW,Wayah,spotify:album:5tqvDr3T8MucvhFH51j3oW,Amr Diab,spotify:artist:5abSRg0xN1NV3gLbuvX24M,5abSRg0xN1NV3gLbuvX24M
5peXtQydbnOo9LTqVtYiXX,Boshret Kher,226586,25.0,0,,spotify:track:5peXtQydbnOo9LTqVtYiXX,2,0wt4rbp9JNCifmU4FzklaQ,Super Hits 2014,spotify:album:0wt4rbp9JNCifmU4FzklaQ,Husain Al Jassmi,spotify:artist:1TcEy92Hugt8o9STqUDz2D,1TcEy92Hugt8o9STqUDz2D
1oKJJOjLULChjf4BM3qEJO,Terlalu Lama Sendiri,241708,43.0,0,https://p.scdn.co/mp3-preview/c7f4125652ef723dd7ef1868e8b3c1ea7a27f239?cid=d8dea22fde1f4eb7a0ac6d5c2071800e,spotify:track:1oKJJOjLULChjf4BM3qEJO,1,2YxMQAUg9ZHLQK8i5vemFk,Generation Y,spotify:album:2YxMQAUg9ZHLQK8i5vemFk,Kunto Aji,spotify:artist:7dfFM5cBUOBmOH08sGNDcy,7dfFM5cBUOBmOH08sGNDcy
3Qiv7UhkqYeBExD6gZ1m3k,Kasih Putih,237000,51.0,0,https://p.scdn.co/mp3-preview/256672b516c6b3d2353a3fcc27145edddb791eac?cid=d8dea22fde1f4eb7a0ac6d5c2071800e,spotify:track:3Qiv7UhkqYeBExD6gZ1m3k,2,7c9NuorRkB2t9ioSaRucBx,Kembali,spotify:album:7c9NuorRkB2t9ioSaRucBx,Glenn Fredly,spotify:artist:4rUYk0fV0Z4pOtwVbEAyK9,4rUYk0fV0Z4pOtwVbEAyK9
65ZWO4XvTXfVtz3AArlln1,It Ain't Over,182013,18.0,0,,spotify:track:65ZWO4XvTXfVtz3AArlln1,1,2kD8FzGjTRCTltMYaR0Nyi,While You Were Sleeping,spotify:album:2kD8FzGjTRCTltMYaR0Nyi,Classified,spotify:artist:7t6GsqGAwrj1kwYbvNX0hN,7t6GsqGAwrj1kwYbvNX0hN
79Rnq7MIL9l6VZiLpjFauz,Fallen,218573,28.0,0,,spotify:track:79Rnq7MIL9l6VZiLpjFauz,2,3hJhZrFemO37h6uJsgu9PX,Tomorrow Could Be...,spotify:album:3hJhZrFemO37h6uJsgu9PX,Classified,spotify:artist:7t6GsqGAwrj1kwYbvNX0hN,7t6GsqGAwrj1kwYbvNX0hN
0D21XvHcVsIvJM6FcGY2BT,OOOUUU,234525,64.0,1,https://p.scdn.co/mp3-preview/0852b011bb11c251d0e9f90c6a010997013e0f09?cid=d8dea22fde1f4eb7a0ac6d5c2071800e,spotify:track:0D21XvHcVsIvJM6FcGY2BT,1,0o7QxqeqhALehCfm0kpJJo,OOOUUU,spotify:album:0o7QxqeqhALehCfm0kpJJo,Young M.A,spotify:artist:7LvoDJUNGnOrPdGRzVtOJ9,7LvoDJUNGnOrPdGRzVtOJ9
2OvV4NjEBRE9v8Oo7QeUCq,Jump (with Trippie Redd),207856,75.0,1,,spotify:track:2OvV4NjEBRE9v8Oo7QeUCq,2,2CH8od3NBJpsvqTdY3H1HH,Jump (with Trippie Redd),spotify:album:2CH8od3NBJpsvqTdY3H1HH,Julia Michaels,spotify:artist:0ZED1XzwlLHW4ZaG4lOT6m,0ZED1XzwlLHW4ZaG4lOT6m
